"Cell","AgeGroup","Treatment","Age","Sex","Baseline","EtOH","Change"
"16o19.P3","PND14","EtOH[50mM]",13,"M",52.77721068,42.38435197,0.803080561
"16o19.P6","PND14","EtOH[50mM]",13,"M",144.5378215,135.7809033,0.939414348
"16o20.P2","PND14","EtOH[50mM]",14,"M",153.8204735,154.7163622,1.005824249
"16o20.P3","PND14","EtOH[50mM]",14,"M",154.121323,174.3748677,1.131412996
"16o21.P2","PND14","EtOH[50mM]",15,"F",308.7043306,339.4738713,1.099673175
"16o21.P3","PND14","EtOH[50mM]",15,"F",103.5272498,96.55350485,0.932638557
"16d11.P1","PND14","EtOH[50mM]",14,"M",172.731862,217.2862652,1.257939692
"16d12.P1","PND14","EtOH[50mM]",15,"M",246.7115315,257.8623053,1.045197619
"16d12.P2","PND14","EtOH[50mM]",15,"M",102.7050931,124.6257541,1.213433048
"17503.P2","PND14","EtOH[50mM]",13,"F",87.09938994,83.87689188,0.963002059
"17503.P3","PND14","EtOH[50mM]",13,"F",210.3551777,193.3040561,0.91894128
"17217.P1","PND14","EtOH[100mM]",15,"M",175.7874107,147.8676945,0.841173403
"17217.P2","PND14","EtOH[100mM]",15,"M",214.0720271,152.0854785,0.710440689
"17216.P1","PND14","EtOH[100mM]",14,"F",125.6344089,116.9964015,0.931244892
"17818.P1","PND14","EtOH[100mM]",14,"M",105.0327302,125.2533612,1.192517427
"17818.P2","PND14","EtOH[100mM]",14,"M",171.6384027,158.1016155,0.921131944
"16o26.P1","PND21","EtOH[50mM]",20,"F",120.4196364,202.9323159,1.685209506
"16o26.P3","PND21","EtOH[50mM]",20,"F",162.8901182,187.4915343,1.151030746
"16o26.P4","PND21","EtOH[50mM]",20,"F",70.91435894,104.7090627,1.476556572
"16n02.P1","PND21","EtOH[50mM]",20,"F",31.4007,35.33439015,1.125273964
"16n02.P2","PND21","EtOH[50mM]",20,"F",173.328678,200.8878673,1.158999593
"16n02.P5","PND21","EtOH[50mM]",20,"F",284.7964817,287.9827072,1.011187728
"16n03.P2","PND21","EtOH[50mM]",21,"F",165.9676105,174.8335076,1.053419441
"16n03.P3","PND21","EtOH[50mM]",21,"F",49.27938295,40.61110765,0.824099354
"16n03.P5","PND21","EtOH[50mM]",21,"F",121.9981604,126.3560361,1.035720831
"17511.P2","PND21","EtOH[50mM]",21,"F",157.2902139,139.2679316,0.885420193
"17511.P3","PND21","EtOH[50mM]",21,"F",121.5568551,127.5019994,1.048908343
"17104.P1","PND21","EtOH[100mM]",20,"M",94.43421761,24.46769602,0.259097779
"17106.P2","PND21","EtOH[100mM]",22,"F",169.1872355,166.2786898,0.982808717
"17106.P3","PND21","EtOH[100mM]",22,"F",73.38700966,96.43243864,1.314025998
"17106.P5","PND21","EtOH[100mM]",22,"F",127.8654801,125.2880021,0.979842269
"17118.P1","PND21","EtOH[100mM]",21,"F",81.81502847,70.29060832,0.859140547
"17223.P1","PND21","EtOH[100mM]",21,"M",204.2567848,174.526022,0.854444185
"17412.P3","PND21","EtOH[100mM]",20,"M",198.5636257,175.1694507,0.882182978
"17713.P2","PND21","EtOH[100mM]",21,"M",92.19651881,71.05836716,0.770727226
"17713.P1","PND21","EtOH[100mM]",21,"M",143.5767795,117.049019,0.815236415
"16n09.P1","PND28","EtOH[50mM]",27,"F",74.65966375,71.79139222,0.961582046
"16n09.P2","PND28","EtOH[50mM]",27,"F",61.60092063,40.88082591,0.663639853
"16n09.P3","PND28","EtOH[50mM]",27,"F",69.70766778,57.00011432,0.817702215
"16n09.P4","PND28","EtOH[50mM]",27,"F",67.53442517,33.49398585,0.49595426
"17518.P4","PND28","EtOH[50mM]",28,"M",84.17409523,74.64986869,0.886850859
"16n04.P2","PND28","EtOH[50mM]",30,"M",101.895518,109.9440322,1.078987912
"16n04.P3","PND28","EtOH[50mM]",30,"M",142.6010646,141.087415,0.989385426
"17209.P1","PND28","EtOH[100mM]",27,"F",141.8244216,61.18837193,0.431437486
"17209.P2","PND28","EtOH[100mM]",27,"F",104.9081434,58.57593108,0.558354473
"17209.P3","PND28","EtOH[100mM]",27,"F",57.41779722,70.06969506,1.220348018
"17210.P1","PND28","EtOH[100mM]",28,"F",157.350943,150.2550477,0.954904018
"17419.P3","PND28","EtOH[100mM]",27,"M",239.1505944,167.4472497,0.700174926
"17420.P3","PND28","EtOH[100mM]",28,"M",200.5660716,174.0932936,0.86800969
"17518.P2","PND28","EtOH[100mM]",28,"M",185.5861053,185.0485141,0.997103279
