files,n,n1,protocol,p0,Bl,EPSC,TestPulse_ON,TestPulse_OFF,Treatment
17217010.atf,15000,10,IV curve,NA,200:600,NA,734,6734,Control
17217011.atf,15000,10,IV curve,NA,200:600,NA,734,6734,Control
17217012.atf,13000,6,IO,100,600,700,10500,12500,Control
17217013.atf,2600,5,PP,100,500,550,NA,NA,Control
17217014.atf,17000,5,NMDA,8000,8200,8280,100,1100,Control
17217015.atf,15000,5,AMPA,8000,8200,8250,100,1100,Control
17217016.atf,17000,5,NMDA,8000,8200,8280,100,1100,Control
17217017.atf,15000,5,AMPA,8000,8200,8250,100,1100,Control
17217018.atf,17000,5,NMDA,8000,8200,8280,100,1100,Control
17217019.atf,15000,3,AMPA,8000,8200,8250,100,1100,Control
17217020.atf,17000,5,NMDA,8000,8200,8280,100,1100,Control
17217021.atf,15000,3,AMPA,8000,8200,8250,100,1100,Control
17217022.atf,17000,5,NMDA,8000,8200,8280,100,1100,Control
17217023.atf,15000,3,AMPA,8000,8200,8250,100,1100,100mM
17217024.atf,17000,5,NMDA,8000,8200,8280,100,1100,100mM
17217025.atf,15000,3,AMPA,8000,8200,8250,100,1100,100mM
17217026.atf,17000,5,NMDA,8000,8200,8280,100,1100,100mM
17217027.atf,15000,3,AMPA,8000,8200,8250,100,1100,100mM
17217028.atf,17000,5,NMDA,8000,8200,8280,100,1100,100mM
17217029.atf,2600,5,PP,100,500,550,NA,NA,100mM
17217030.atf,17000,5,NMDA,8000,8200,8280,100,1100,100mM
