"Slice","P21f-CS_7-CS17","P21f-CS_7-CS17","P21f-CS_7-CS17"
"Group","P21f-Control","P21f-Control","P21f-Control"
"Date","2017_06_24","2017_06_24","2017_06_24"
"Age","22","22","22"
"Sex","F","F","F"
"Weight","56","56","56"
"rSoln","rACSF","rACSF","rACSF"
"xSoln","rACSF","rACSF","rACSF"
"Cut.Time",NA,NA,NA
"Rig","Luis","Luis","Luis"
"HP","xx","xx","xx"
"FirstIO","2017_06_24_1016.atf","2017_06_24_1016.atf","2017_06_24_1016.atf"
"StimFile","2017_06_24_1019.abf","2017_06_24_1019.abf","2017_06_24_1019.abf"
"StimMag","0.0","0.0","0.0"
"Comment","","",""
"LTD","-12.8975661368339","-12.7013758885641","-9.73700676001279"
"blSl","-0.844803911638483","-0.125254273710874","-0.927581292538477"
"blVar_pC","25.1896673677613","19.0411618721731","32.2379755472217"
"blVar_oD","0.00120055195041677","0.001271715125506","0.00154744417203537"
"-15","10.1320949815981","0.488680459602705","7.02577348229177"
"-14","9.86205221280692","1.28408222491841","10.677601167466"
"-13","8.57335335601559","4.10512914229577","7.34408702337304"
"-12","5.22583822017499","3.07555902506982","2.82506693266981"
"-11","3.6975692728961","-3.87967335404727","2.41758881916785"
"-10","5.06498351133553","1.96649436218172","3.85838904824882"
"-9","2.15079755891978","-2.37653185226195","1.17817544046144"
"-8","2.88046316586828","-0.709461795300655","2.94782682146686"
"-7","0.991390244263826","-0.959522303457675","1.57110908669161"
"-6","-1.30623573097958","-2.41774552800133","-1.83068345928146"
"-5","0.930510169503961","-1.75971592983848","1.58561091081985"
"-4","1.91473805126753","2.59257178235497","0.964339691388886"
"-3","-1.96636674306085","-3.96071148137194","-1.78089847365821"
"-2","1.59899726919359","3.40959046879605","1.93730531482166"
"-1","-2.47787874690427","-0.281734839940611","-2.70635744337217"
"0","-40.6210364538056","-36.1472035201023","-35.980822610288"
"1","-30.3615500544308","-22.772516559414","-27.7359802777142"
"2","-19.2730202785052","-20.6869810472462","-17.7480840388788"
"3","-12.4601220585412","-11.1923996417532","-10.9798724456338"
"4","-8.14808183017516","-12.6316367899577","-9.17115280041627"
"5","-9.19259292420826","-15.0826928486204","-9.47379027296887"
"6","-11.6561469475951","-12.4079715574591","-11.9100372430643"
"7","-11.653162630608","-11.862469189788","-13.8332279129508"
"8","-11.549905247684","-15.7101594956033","-11.0282072614535"
"9","-14.8069892711274","-15.8722357521281","-13.508342642048"
"10","-13.2393273349986","-11.0201357367631","-11.8262084165864"
"11","-13.2014265039218","-9.79437617083676","-12.0247992095235"
"12","-10.2168106600676","-11.0096393698324","-9.47125670748586"
"13","-9.86257218316695","-12.0767185643021","-8.65628292286446"
"14","-5.89193786618034","-8.28135573552609","-5.40060328890053"
"15","-6.12232717064012","-8.94108327448264","-5.12289617196429"
"16","-7.9508184488041","-9.8366703548112","-7.86008153179768"
"17","-8.56588626759515","-8.68577458298779","-7.35514277350663"
"18","-11.6295865229601","-12.7972632885513","-9.05596886585116"
"19","-10.5928346540041","-11.9157228171372","-9.65805324564543"
"20","-7.71237148793803","-13.7081318434133","-7.2369600885709"
"21","-4.96769476396267","-11.4176084583169","-4.15534284699292"
"22","-8.35728248076211","-11.0091762951232","-7.97281415620616"
"23","-1.79088887910903","-6.95248479925124","-1.01417840911039"
"24","-5.13063849471415","-10.9803112848997","-4.70562864528861"
"25","-5.35088111946696","-11.1054958974162","-6.807802399102"
"26","-7.2951639139275","-10.034866461674","-7.81725560582835"
"27","-6.83557903261332","-8.29293261143424","-7.62939949816564"
"28","-0.0686393001893606","-2.8505663096652","-2.48150463802141"
"29","-5.84806840042322","-11.5582289037332","-5.34173047869976"
"30","-3.91840876192174","-9.88760860624787","-4.74262115939122"
"31","-6.14829073234476","-9.03091982886585","-7.48707145975902"
"32","-5.46488204474676","-10.691969908392","-4.34509627003588"
"33","-5.34073444037429","-10.4940825189011","-5.71697525257254"
"34","-5.74600474527072","-12.7855320536437","-4.65611290255831"
"35","-3.86409418502285","-7.38468814746321","-3.09257246514247"
"36","-8.78254771203945","-13.7911766293425","-8.67860511292491"
"37","-7.36469850940688","-10.0798748681209","-7.05092812001458"
"38","-5.14704594572201","-8.71371344156015","-4.73672176280566"
"39","-11.3493591178282","-13.5388007469521","-11.6076246590776"
"40","-9.62860169839665","-10.5062768265505","-8.34201560117789"
"41","-11.8187922467827","-13.9668364202211","-10.7227838126045"
"42","-10.705641852011","-17.3168754419457","-8.74040758978587"
"43","-10.8271035706493","-16.3167877661171","-8.8052523916767"
"44","-11.6480892909032","-11.3811798922035","-10.2540492793805"
"45","-11.0103406596646","-12.8590066229864","-8.69345085271172"
"46","-7.73206798240494","-10.5028809431292","-4.69194790041658"
"47","-9.4662548305071","-11.9029110738296","-7.67760608839733"
"48","-8.05347896780233","-10.5285044280235","-5.7814091505599"
"49","-11.262217049082","-14.8093242315282","-9.2172250128034"
"50","-12.140203231564","-16.2359039959245","-9.92382016768954"
"51","-14.3873942435414","-16.9725019887012","-11.6737879689459"
"52","-17.8990405419799","-12.0325720795806","-12.5592845895106"
"53","-18.7316650997799","-15.9332072945114","-12.1366754430178"
"54","-20.7111628392626","-18.0568693158899","-13.1541453833491"
"55","-15.3641613318074","-17.2914063159639","-10.6952387731019"
"56","-12.1094647625497","-16.9177047785887","-10.0260153378577"
"57","-11.4946953759288","-7.58720628707079","-7.7241578331581"
"58","-15.6599071875452","-9.57642219553554","-12.6299124826594"
"59","-9.39821239362013","-12.1341398656616","-7.21209582885355"
