"Slice","P21f-CS_7-CS17"
"Group","P21f-Control"
"Date","2017_06_24"
"Age","22"
"Sex","F"
"Weight","56"
"rSoln","rACSF"
"xSoln","rACSF"
"Cut.Time",NA
"Rig","Luis"
"HP","xx"
"FirstIO","2017_06_24_1016.atf"
"StimFile","2017_06_24_1019.abf"
"StimMag","0.0"
"Comment",""
"KO","Omit"
"mVmax","-1.07579674720754"
"t_mVmax","3.19"
"LTD","-10.6376169873899"
"Bl_slope","-1.29037020790531"
"-15","16.9797999692818"
"-14","18.6196923220033"
"-13","13.3524433911767"
"-12","3.8080666128149"
"-11","7.00959003352023"
"-10","4.47224455535537"
"-9","1.71674389600958"
"-8","1.28953142223874"
"-7","0.468716600117276"
"-6","-2.93673584275702"
"-5","0.507990979749181"
"-4","3.64108402949664"
"-3","-1.99896630003938"
"-2","0.290532189572403"
"-1","-2.44064089877882"
"0","-36.3755623779997"
"1","-26.9289208965495"
"2","-18.3137223631535"
"3","-13.4477807303553"
"4","-12.2305138812407"
"5","-4.31560670283751"
"6","-12.829870556291"
"7","-12.0487528664029"
"8","-12.112177641434"
"9","-9.83338185555756"
"10","-12.8817804701971"
"11","-12.9332450662685"
"12","-9.81096147445398"
"13","-10.0844976695219"
"14","-10.6782820744895"
"15","-6.47021222424515"
"16","-8.24763198735758"
"17","-11.6902981014262"
"18","-8.83835598994487"
"19","-9.9349675880529"
"20","-9.06723199303696"
"21","-5.3083748717868"
"22","-8.51642666278126"
"23","-4.48696739473277"
"24","-3.1680770074036"
"25","-5.16857847080276"
"26","-5.983093177618"
"27","-1.85354841646091"
"28","1.36778894432108"
"29","-1.05063143387845"
"30","-1.33562433636531"
"31","-3.47148859467946"
"32","-0.558988365552608"
"33","-3.39903922136419"
"34","-2.55198534463553"
"35","-3.60971945072166"
"36","-6.8084510372007"
"37","-5.60181737306181"
"38","-5.27067407923177"
"39","-5.65325101851415"
"40","-9.93135871202939"
"41","-10.8124590258331"
"42","-8.07096733038979"
"43","-9.93970054277187"
"44","-11.5045311830268"
"45","-10.6988353647235"
"46","-6.89810475833715"
"47","-8.70120308229681"
"48","-8.62010154336983"
"49","-8.59936583531511"
"50","-8.4322002749593"
"51","-10.9257747126372"
"52","-12.0604004213535"
"53","-12.2088278395913"
"54","-13.6460103631472"
"55","-11.0409222000025"
"56","-10.8983975956426"
"57","-10.4939617007439"
"58","-13.4592074823557"
"59","-7.29559595820476"
